Senario Name,Test Name,Browser Name,Os Name,Test Status,Test Data Row,Link to Screen Shot,Error Log,Test Type
Rallyhoodtestcases,RallyhoodTC_34,firefox,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/Rallyhoodtestcases_RallyhoodTC_34_WIN7_firefox.png,"java.lang.AssertionError: Test case failed due to exception Unable to locate element: //article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt'] For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.firefox.FirefoxDriver Capabilities [{moz:profile=C:\Users\mbaragapu\AppData\Local\Temp\rust_mozprofile.HP3iwaERCf3A  rotatable=false  timeouts={implicit=0  pageLoad=300000  script=30000}  pageLoadStrategy=normal  moz:headless=false  platform=XP  moz:accessibilityChecks=false  acceptInsecureCerts=true  browserVersion=58.0  platformVersion=6.1  moz:processID=8956  browserName=firefox  javascriptEnabled=true  platformName=XP  moz:webdriverClick=true}] Session ID: 2cd19199-a392-4ca9-8094-bfb3f5ed782d *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_37,chrome,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/RallyhoodtestcasesChrome_RallyhoodTC_37_WIN7_chrome.png,"java.lang.AssertionError: Test case failed due to exception no such element: Unable to locate element: {""method"":""xpath"" ""selector"":""//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']""}   (Session info: chrome=62.0.3202.94)   (Driver info: chromedriver=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f) platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.chrome.ChromeDriver Capabilities [{mobileEmulationEnabled=false  hasTouchScreen=false  platform=XP  acceptSslCerts=true  webStorageEnabled=true  browserName=chrome  takesScreenshot=true  javascriptEnabled=true  platformName=XP  setWindowRect=true  unexpectedAlertBehaviour=  applicationCacheEnabled=false  rotatable=false  networkConnectionEnabled=false  chrome={chromedriverVersion=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)  userDataDir=C:\Users\MBARAG~1\AppData\Local\Temp\scoped_dir2504_14824}  takesHeapSnapshot=true  pageLoadStrategy=normal  unhandledPromptBehavior=  databaseEnabled=false  handlesAlerts=true  version=62.0.3202.94  browserConnectionEnabled=false  nativeEvents=true  locationContextEnabled=true  cssSelectorsEnabled=true}] Session ID: 5ba1a105d2a296cfbf4a98faa99342bf *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_35,firefox,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/Rallyhoodtestcases_RallyhoodTC_35_WIN7_firefox.png,"java.lang.AssertionError: Test case failed due to exception Unable to locate element: //article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt'] For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.firefox.FirefoxDriver Capabilities [{moz:profile=C:\Users\mbaragapu\AppData\Local\Temp\rust_mozprofile.HP3iwaERCf3A  rotatable=false  timeouts={implicit=0  pageLoad=300000  script=30000}  pageLoadStrategy=normal  moz:headless=false  platform=XP  moz:accessibilityChecks=false  acceptInsecureCerts=true  browserVersion=58.0  platformVersion=6.1  moz:processID=8956  browserName=firefox  javascriptEnabled=true  platformName=XP  moz:webdriverClick=true}] Session ID: 2cd19199-a392-4ca9-8094-bfb3f5ed782d *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_38,chrome,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/RallyhoodtestcasesChrome_RallyhoodTC_38_WIN7_chrome.png,"java.lang.AssertionError: Test case failed due to exception no such element: Unable to locate element: {""method"":""xpath"" ""selector"":""//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']""}   (Session info: chrome=62.0.3202.94)   (Driver info: chromedriver=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f) platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.chrome.ChromeDriver Capabilities [{mobileEmulationEnabled=false  hasTouchScreen=false  platform=XP  acceptSslCerts=true  webStorageEnabled=true  browserName=chrome  takesScreenshot=true  javascriptEnabled=true  platformName=XP  setWindowRect=true  unexpectedAlertBehaviour=  applicationCacheEnabled=false  rotatable=false  networkConnectionEnabled=false  chrome={chromedriverVersion=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)  userDataDir=C:\Users\MBARAG~1\AppData\Local\Temp\scoped_dir2504_14824}  takesHeapSnapshot=true  pageLoadStrategy=normal  unhandledPromptBehavior=  databaseEnabled=false  handlesAlerts=true  version=62.0.3202.94  browserConnectionEnabled=false  nativeEvents=true  locationContextEnabled=true  cssSelectorsEnabled=true}] Session ID: 5ba1a105d2a296cfbf4a98faa99342bf *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_39,chrome,WIN7,Pass,RH1,NA,"NA",Smoke
Rallyhoodtestcases,RallyhoodTC_36,firefox,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/Rallyhoodtestcases_RallyhoodTC_36_WIN7_firefox.png,"java.lang.AssertionError: Test case failed due to exception Unable to locate element: //article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt'] For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.firefox.FirefoxDriver Capabilities [{moz:profile=C:\Users\mbaragapu\AppData\Local\Temp\rust_mozprofile.HP3iwaERCf3A  rotatable=false  timeouts={implicit=0  pageLoad=300000  script=30000}  pageLoadStrategy=normal  moz:headless=false  platform=XP  moz:accessibilityChecks=false  acceptInsecureCerts=true  browserVersion=58.0  platformVersion=6.1  moz:processID=8956  browserName=firefox  javascriptEnabled=true  platformName=XP  moz:webdriverClick=true}] Session ID: 2cd19199-a392-4ca9-8094-bfb3f5ed782d *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_40,chrome,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/RallyhoodtestcasesChrome_RallyhoodTC_40_WIN7_chrome.png,"java.lang.AssertionError: Test case failed due to exception no such element: Unable to locate element: {""method"":""xpath"" ""selector"":""//div[@class='description ember-view truncated']//span[@class='ellipsis']""}   (Session info: chrome=62.0.3202.94)   (Driver info: chromedriver=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f) platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.chrome.ChromeDriver Capabilities [{mobileEmulationEnabled=false  hasTouchScreen=false  platform=XP  acceptSslCerts=true  webStorageEnabled=true  browserName=chrome  takesScreenshot=true  javascriptEnabled=true  platformName=XP  setWindowRect=true  unexpectedAlertBehaviour=  applicationCacheEnabled=false  rotatable=false  networkConnectionEnabled=false  chrome={chromedriverVersion=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)  userDataDir=C:\Users\MBARAG~1\AppData\Local\Temp\scoped_dir2504_14824}  takesHeapSnapshot=true  pageLoadStrategy=normal  unhandledPromptBehavior=  databaseEnabled=false  handlesAlerts=true  version=62.0.3202.94  browserConnectionEnabled=false  nativeEvents=true  locationContextEnabled=true  cssSelectorsEnabled=true}] Session ID: 5ba1a105d2a296cfbf4a98faa99342bf *** Element info: {Using=xpath  value=//div[@class='description ember-view truncated']//span[@class='ellipsis']} expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_37,firefox,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/Rallyhoodtestcases_RallyhoodTC_37_WIN7_firefox.png,"java.lang.AssertionError: Test case failed due to exception Unable to locate element: //article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt'] For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.firefox.FirefoxDriver Capabilities [{moz:profile=C:\Users\mbaragapu\AppData\Local\Temp\rust_mozprofile.HP3iwaERCf3A  rotatable=false  timeouts={implicit=0  pageLoad=300000  script=30000}  pageLoadStrategy=normal  moz:headless=false  platform=XP  moz:accessibilityChecks=false  acceptInsecureCerts=true  browserVersion=58.0  platformVersion=6.1  moz:processID=8956  browserName=firefox  javascriptEnabled=true  platformName=XP  moz:webdriverClick=true}] Session ID: 2cd19199-a392-4ca9-8094-bfb3f5ed782d *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_38,firefox,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/Rallyhoodtestcases_RallyhoodTC_38_WIN7_firefox.png,"java.lang.AssertionError: Test case failed due to exception Unable to locate element: //article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt'] For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.firefox.FirefoxDriver Capabilities [{moz:profile=C:\Users\mbaragapu\AppData\Local\Temp\rust_mozprofile.HP3iwaERCf3A  rotatable=false  timeouts={implicit=0  pageLoad=300000  script=30000}  pageLoadStrategy=normal  moz:headless=false  platform=XP  moz:accessibilityChecks=false  acceptInsecureCerts=true  browserVersion=58.0  platformVersion=6.1  moz:processID=8956  browserName=firefox  javascriptEnabled=true  platformName=XP  moz:webdriverClick=true}] Session ID: 2cd19199-a392-4ca9-8094-bfb3f5ed782d *** Element info: {Using=xpath  value=//article[@class='participation ember-view none']//div[@class='rsvp is-none']//span[@class='prompt']} expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_39,firefox,WIN7,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_41,chrome,WIN7,Pass,RH1,NA,"NA",Smoke
Rallyhoodtestcases,RallyhoodTC_40,firefox,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/Rallyhoodtestcases_RallyhoodTC_40_WIN7_firefox.png,"java.lang.AssertionError: Test case failed due to exception Unable to locate element: //div[@class='description ember-view truncated']//span[@class='ellipsis'] For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.firefox.FirefoxDriver Capabilities [{moz:profile=C:\Users\mbaragapu\AppData\Local\Temp\rust_mozprofile.HP3iwaERCf3A  rotatable=false  timeouts={implicit=0  pageLoad=300000  script=30000}  pageLoadStrategy=normal  moz:headless=false  platform=XP  moz:accessibilityChecks=false  acceptInsecureCerts=true  browserVersion=58.0  platformVersion=6.1  moz:processID=8956  browserName=firefox  javascriptEnabled=true  platformName=XP  moz:webdriverClick=true}] Session ID: 2cd19199-a392-4ca9-8094-bfb3f5ed782d *** Element info: {Using=xpath  value=//div[@class='description ember-view truncated']//span[@class='ellipsis']} expected [true] but found [false]",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_42,chrome,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/RallyhoodtestcasesChrome_RallyhoodTC_42_WIN7_chrome.png,"java.lang.AssertionError: Test case failed due to exception no such element: Unable to locate element: {""method"":""xpath"" ""selector"":""//section[@class='time-slots']//article[@class='time-slot ember-view none']//div[@class='title']""}   (Session info: chrome=62.0.3202.94)   (Driver info: chromedriver=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f) platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.chrome.ChromeDriver Capabilities [{mobileEmulationEnabled=false  hasTouchScreen=false  platform=XP  acceptSslCerts=true  webStorageEnabled=true  browserName=chrome  takesScreenshot=true  javascriptEnabled=true  platformName=XP  setWindowRect=true  unexpectedAlertBehaviour=  applicationCacheEnabled=false  rotatable=false  networkConnectionEnabled=false  chrome={chromedriverVersion=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)  userDataDir=C:\Users\MBARAG~1\AppData\Local\Temp\scoped_dir2504_14824}  takesHeapSnapshot=true  pageLoadStrategy=normal  unhandledPromptBehavior=  databaseEnabled=false  handlesAlerts=true  version=62.0.3202.94  browserConnectionEnabled=false  nativeEvents=true  locationContextEnabled=true  cssSelectorsEnabled=true}] Session ID: 5ba1a105d2a296cfbf4a98faa99342bf *** Element info: {Using=xpath  value=//section[@class='time-slots']//article[@class='time-slot ember-view none']//div[@class='title']} expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_41,firefox,WIN7,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_43,chrome,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/RallyhoodtestcasesChrome_RallyhoodTC_43_WIN7_chrome.png,"java.lang.AssertionError: Test case failed due to exception no such element: Unable to locate element: {""method"":""xpath"" ""selector"":""//article[@class='time-slot ember-view none']//div[@class='info']""}   (Session info: chrome=62.0.3202.94)   (Driver info: chromedriver=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f) platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.chrome.ChromeDriver Capabilities [{mobileEmulationEnabled=false  hasTouchScreen=false  platform=XP  acceptSslCerts=true  webStorageEnabled=true  browserName=chrome  takesScreenshot=true  javascriptEnabled=true  platformName=XP  setWindowRect=true  unexpectedAlertBehaviour=  applicationCacheEnabled=false  rotatable=false  networkConnectionEnabled=false  chrome={chromedriverVersion=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)  userDataDir=C:\Users\MBARAG~1\AppData\Local\Temp\scoped_dir2504_14824}  takesHeapSnapshot=true  pageLoadStrategy=normal  unhandledPromptBehavior=  databaseEnabled=false  handlesAlerts=true  version=62.0.3202.94  browserConnectionEnabled=false  nativeEvents=true  locationContextEnabled=true  cssSelectorsEnabled=true}] Session ID: 5ba1a105d2a296cfbf4a98faa99342bf *** Element info: {Using=xpath  value=//article[@class='time-slot ember-view none']//div[@class='info']} expected [true] but found [false]",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_44,chrome,WIN7,Pass,RH1,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_45,chrome,WIN7,Fail,RH1,file://E:/Rallyhood/ScreenShots/RallyhoodtestcasesChrome_RallyhoodTC_45_WIN7_chrome.png,"java.lang.AssertionError: Test case failed due to exception no such element: Unable to locate element: {""method"":""xpath"" ""selector"":""//article[@class='time-slot ember-view none']//div[@class='info']""}   (Session info: chrome=62.0.3202.94)   (Driver info: chromedriver=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f) platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information) Command duration or timeout: 0 milliseconds For documentation on this error  please visit: http://seleniumhq.org/exceptions/no_such_element.html Build info: version: '3.6.0'  revision: '6fbf3ec767'  time: '2017-09-27T15:28:36.4Z' System info: host: 'IM-LP-322'  ip: '192.168.205.116'  os.name: 'Windows 7'  os.arch: 'amd64'  os.version: '6.1'  java.version: '1.8.0_151' Driver info: org.openqa.selenium.chrome.ChromeDriver Capabilities [{mobileEmulationEnabled=false  hasTouchScreen=false  platform=XP  acceptSslCerts=true  webStorageEnabled=true  browserName=chrome  takesScreenshot=true  javascriptEnabled=true  platformName=XP  setWindowRect=true  unexpectedAlertBehaviour=  applicationCacheEnabled=false  rotatable=false  networkConnectionEnabled=false  chrome={chromedriverVersion=2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)  userDataDir=C:\Users\MBARAG~1\AppData\Local\Temp\scoped_dir2504_14824}  takesHeapSnapshot=true  pageLoadStrategy=normal  unhandledPromptBehavior=  databaseEnabled=false  handlesAlerts=true  version=62.0.3202.94  browserConnectionEnabled=false  nativeEvents=true  locationContextEnabled=true  cssSelectorsEnabled=true}] Session ID: 5ba1a105d2a296cfbf4a98faa99342bf *** Element info: {Using=xpath  value=//article[@class='time-slot ember-view none']//div[@class='info']} expected [true] but found [false]",Smoke
Rallyhoodtestcases,RallyhoodTC_42,firefox,WIN7,Pass,RH1,NA,"NA",Smoke
Rallyhoodtestcases,RallyhoodTC_43,firefox,WIN7,Pass,RH1,NA,"NA",Smoke
Rallyhoodtestcases,RallyhoodTC_44,firefox,WIN7,Pass,RH1,NA,"NA",Smoke
Rallyhoodtestcases,RallyhoodTC_45,firefox,WIN7,Pass,RH1,NA,"NA",Smoke
