Senario Name,Test Name,Browser Name,Os Name,Test Status,Test Data Row,Link to Screen Shot,Error Log,Test Type
RallyhoodtestcasesChrome,RallyhoodTC_13,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_15,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_17,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_20,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_11,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_12,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_14,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_16,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_18,edge,WIN10,Skipped,NA,NA,"NA",Smoke
RallyhoodtestcasesChrome,RallyhoodTC_19,edge,WIN10,Skipped,NA,NA,"NA",Smoke
